order_id,id,express_fee,charge_weight,bill_amount
26815530317605895,49,'-9223372036854775808,11,800
26815530317605895,50,'-9223372036854775808,22,800
26815530317605895,51,'-9223372036854775808,11,800
26815530317605895,52,'-9223372036854775808,11,800
26815530317605895,53,'-9223372036854775808,11,800
26815530317605895,54,'-9223372036854775808,11,800
26815530317605895,55,'-9223372036854775808,11,800
26815530317605895,56,'-9223372036854775808,11,800
26815530317605895,57,'-9223372036854775808,11,800
26815530317605895,58,'-9223372036854775808,11,800
26815530317605895,59,'-9223372036854775808,22,800
26815530317605895,60,'-9223372036854775808,11,800
26815530317605895,61,'-9223372036854775808,11,800
26815530317605895,62,'-9223372036854775808,11,800
26815530317605895,63,'-9223372036854775808,11,800
26815530317605895,64,'-9223372036854775808,11,800
26815530317605895,65,'-9223372036854775808,11,800
26815530317605895,66,'-9223372036854775808,11,800
26815530317605895,67,'-9223372036854775808,11,800
26815530317605895,68,'-9223372036854775808,11,800
26815530317605895,69,'-9223372036854775808,11,800
26815530317605895,70,'-9223372036854775808,11,800
26815530317605895,71,'-9223372036854775808,22,800
26815530317605895,72,'-9223372036854775008,22,800
26815559208221703,1,'-9223372036854775808,583,400
26815559208221703,2,'-9223372036854775808,403,400
26815559208221703,3,400,367,400
26815571757727239,1,'-9223372036854775808,440,800
26815571757727239,2,'-9223372036854775808,473,800
26815571757727239,3,'-9223372036854775808,847,800
26815571757727239,4,'-9223372036854775808,473,800
26815571757727239,5,'-9223372036854775808,286,800
26815571757727239,6,'-9223372036854775808,330,800
26815571757727239,7,'-9223372036854775808,280,800
26815571757727239,8,'-9223372036854775808,280,800
26815571757727239,9,'-9223372036854775808,286,800
26815571757727239,10,'-9223372036854775808,495,800
26815571757727239,11,'-9223372036854775808,495,800
26815571757727239,12,'-9223372036854775808,495,800
26815571757727239,13,'-9223372036854775808,495,800
26815571757727239,14,'-9223372036854775808,495,800
26815571757727239,15,'-9223372036854775808,330,800
26815571757727239,16,'-9223372036854775808,790,800
26815571757727239,17,'-9223372036854775808,264,800
26815571757727239,18,'-9223372036854775008,1239,800
26815618314969608,1,'-9223372036854775808,17280,9000
26815618314969608,2,'-9223372036854766808,67432,9000
26815634454854663,1,'-9223372036854775808,280,400
26815634454854663,2,'-9223372036854775808,280,400
26815634454854663,3,'-9223372036854775808,280,400
26815634454854663,4,'-9223372036854775408,280,400
26815654034050823,1,'-9223372036854775808,965,500
26815654034050823,2,'-9223372036854775808,1447,500
26815654034050823,3,500,1447,500
26815678881357063,1,'-9223372036854775808,1958,800
26815678881357063,2,'-9223372036854775808,880,800
26815678881357063,3,'-9223372036854775808,594,800
26815678881357063,4,'-9223372036854775808,363,800
26815678881357063,5,'-9223372036854775808,363,800
26815678881357063,6,'-9223372036854775008,4257,800
26815694819859208,1,'-9223372036854775808,268,400
26815694819859208,2,'-9223372036854775808,268,400
26815694819859208,3,400,242,400
26815740336936455,1,'-9223372036854775808,1969,14500
